"","Coefficient","Exp(Coefficient)","Std. Error","p","Significance"
"(Intercept)","0.771","2.162","0.017","0","***"
"course_subject.1Chemistry","-0.188","0.829","0.021","0","***"
"course_subject.1English","-0.102","0.903","0.02","0","***"
"course_subject.1Estonian Language","-0.011","0.989","0.02","0.583"," "
"course_subject.1History","-0.027","0.973","0.021","0.2"," "
"course_subject.1Literature","0.027","1.028","0.021","0.188"," "
"course_subject.1Mathematics","-0.233","0.792","0.02","0","***"
"course_subject.1Physical Education","0.13","1.139","0.021","0","***"
"course_subject.1Physics","-0.212","0.809","0.021","0","***"
"course_subject.1Russian Language","-0.224","0.799","0.021","0","***"
"gender1","0.083","1.086","0.009","0","***"
"total_abs","0","1","0","0.533"," "
"institution_id523","-0.031","0.969","0.012","0.01","*"
"institution_id524","0.009","1.009","0.011","0.419"," "
