,Value,2.50%,97.50%,p value,
course_subject.1Biology,-1.8438,-2.0136,-1.6758,0,***
course_subject.1Chemistry,-2.4507,-2.6205,-2.2826,0,***
course_subject.1Computer Training,-1.6242,-1.8171,-1.434,0,***
course_subject.1English,-2.04,-2.2069,-1.8751,0,***
course_subject.1Estonian Language,-1.8062,-1.9729,-1.6419,0,***
course_subject.1Geography,-1.6558,-1.8416,-1.4717,0,***
course_subject.1History,-1.7317,-1.9029,-1.5622,0,***
course_subject.1Human History,-2.5544,-2.804,-2.3058,0,***
course_subject.1Human Studies,-2.5559,-2.7964,-2.3163,0,***
course_subject.1Informatics,-1.3727,-1.6094,-1.1376,0,***
course_subject.1Literature,-1.5911,-1.7594,-1.4246,0,***
course_subject.1Mathematics,-2.554,-2.7224,-2.3875,0,***
course_subject.1Music,-0.9717,-1.1523,-0.7904,0,***
course_subject.1Physical Education,-0.2008,-0.3733,-0.0294,0.0219,*
course_subject.1Physics,-2.2676,-2.4385,-2.0986,0,***
course_subject.1Russian Language,-2.455,-2.6257,-2.286,0,***
"course_subject.1Technology, Craft and Homework",-0.2983,-0.5393,-0.0575,0.0157,*
course_subject.1Work Instruction,-0.0623,-0.2774,0.151,0.5706, 
gender1,0.6301,0.5842,0.6762,0,***
total_abs,-5.00E-04,-7.00E-04,-3.00E-04,0,***
1|2,-8.356,NA,NA,0,***
2|3,-6.8563,NA,NA,0,***
3|4,-2.4018,NA,NA,0,***
4|5,-0.2247,NA,NA,0.0029,**
